ID_1,HEX_1,Name_1,Pokcet_1,Translation_1,Type_1,ID_2,HEX_2,Name_2,Pokcet_2,Color_2,ID_3,HEX_3,Name_3,Pokcet_3,Color_3,ID_3Colo,HEX_3Colo,Name_3Colo,Pokcet_3Colo,Color_3Colo,ID_3XD,HEX_3XD,Name_3XD,Pokcet_3XD,Color_3XD,ID_4,HEX_4,Name_4,Pokcet_4,Color_4,ID_5,HEX_5,Name_5,Pokcet_5,Color_5,ID_6,HEX_6,Name_6,Pokcet_6,Color_6,ID_7,HEX_7,Name_7,Pokcet_7,Color_7,ID_7LG,HEX_7LG,Name_7LG,Pokcet_7LG,Color_7LG
0,0x00,Nothing*,,,,0,0x00,?,Items pocket,"rgb(255, 255, 255)",0,0x0000,Nothing,Unknown pocket,"rgb(255, 255, 255)",0,0x0000,Nothing,Unknown pocket,"rgb(255, 255, 255)",0,0x0000,Nothing,Unknown pocket,"rgb(255, 255, 255)",0,0x0000,None,Unknown pocket,"rgb(255, 255, 255)",0,0x0000,None,Unknown pocket,"rgb(255, 255, 255)",0,0x0000,None,Unknown pocket,"rgb(255, 255, 255)",0,0x0000,None,Unknown pocket,"rgb(255, 255, 255)",0,0x0000,None,Unknown pocket,"rgb(255, 255, 255)"
1,0x01,Master Ball,,,,1,0x01,Master Ball,Poké Balls pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Poké Balls pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Poké Balls pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Poké Balls pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Poké Balls pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Poké Balls pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Items pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Items pocket,"rgb(255, 255, 255)",1,0x0001,Master Ball,Unknown pocket,"rgb(255, 255, 255)"
2,0x02,Ultra Ball,,,,2,0x02,Ultra Ball,Poké Balls pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Poké Balls pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Poké Balls pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Poké Balls pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Poké Balls pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Poké Balls pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Items pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Items pocket,"rgb(255, 255, 255)",2,0x0002,Ultra Ball,Unknown pocket,"rgb(255, 255, 255)"
3,0x03,Great Ball,,,,3,0x03,BrightPowder,Items pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Poké Balls pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Poké Balls pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Poké Balls pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Poké Balls pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Poké Balls pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Items pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Items pocket,"rgb(255, 255, 255)",3,0x0003,Great Ball,Unknown pocket,"rgb(255, 255, 255)"
4,0x04,Poké Ball,,,,4,0x04,Great Ball,Poké Balls pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Poké Balls pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Poké Balls pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Poké Balls pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Poké Balls pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Poké Balls pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Items pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Items pocket,"rgb(255, 255, 255)",4,0x0004,Poké Ball,Unknown pocket,"rgb(255, 255, 255)"
5,0x05,Town Map,,,,5,0x05,Poké Ball,Poké Balls pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Poké Balls pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Poké Balls pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Poké Balls pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Poké Balls pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Poké Balls pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Items pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Items pocket,"rgb(255, 255, 255)",5,0x0005,Safari Ball,Unknown pocket,"rgb(255, 255, 255)"
6,0x06,Bicycle,,,,6,0x06,Teru-sama,Items pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Poké Balls pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Poké Balls pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Poké Balls pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Poké Balls pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Poké Balls pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Items pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Items pocket,"rgb(255, 255, 255)",6,0x0006,Net Ball,Unknown pocket,"rgb(255, 255, 255)"
7,0x07,?????,,,,7,0x07,Bicycle,Key items pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Poké Balls pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Poké Balls pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Poké Balls pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Poké Balls pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Poké Balls pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Items pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Items pocket,"rgb(255, 255, 255)",7,0x0007,Dive Ball,Unknown pocket,"rgb(255, 255, 255)"
8,0x08,Safari Ball,,,,8,0x08,Moon Stone,Items pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Poké Balls pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Poké Balls pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Poké Balls pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Poké Balls pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Poké Balls pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Items pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Items pocket,"rgb(255, 255, 255)",8,0x0008,Nest Ball,Unknown pocket,"rgb(255, 255, 255)"
9,0x09,Pokédex,,,,9,0x09,Antidote,Items pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Poké Balls pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Poké Balls pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Poké Balls pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Poké Balls pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Poké Balls pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Items pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Items pocket,"rgb(255, 255, 255)",9,0x0009,Repeat Ball,Unknown pocket,"rgb(255, 255, 255)"
